id,doi,scopus_id,title,authors,year,venue,corresponding_country,affiliations,detection_method,spectral,spectral_range_um_min,spectral_range_um_max,direction,temperature_measurement_method,temperature_control_method,temperature_range_K_min,temperature_range_K_max,citations_total,citations_total_updated,cites,cited_by
10.1007/s10765-013-1400-8,10.1007/s10765-013-1400-8,85028159647,New facilities for the measurements of high-temperature thermophysical properties at LNE,Bruno Hay;Jacques Hameury;Nolwenn Fleurence;Pascal Lacipiere;Marc Grelard;Vincent Scoarnec;Guillaume Davee,2014,International Journal of Thermophysics,FR,"Laboratoire National de Metrologie et d'Essais (FR, Paris);Laboratoire National de Metrologie et d'Essais (FR, Paris);Laboratoire National de Metrologie et d'Essais (FR, Paris);Laboratoire National de Metrologie et d'Essais (FR, Paris);Laboratoire National de Metrologie et d'Essais (FR, Paris);Laboratoire National de Metrologie et d'Essais (FR, Paris);Laboratoire National de Metrologie et d'Essais (FR, Paris)",FTIR;Bruker Vertex 70,true,0.8,10.0,directional,contact thermometry;bichromatic pyrometry or “pyroreflectometry”,halogen lamps,,1723.0,36,2026-08-02,10.1007/s10765-021-02813-0;10.1016/j.expthermflusci.2021.110379;10.1016/j.ijthermalsci.2025.110629;10.1016/j.infrared.2015.01.011;10.1016/j.infrared.2015.10.001;10.1016/j.tca.2017.03.004;10.1063/5.0073459;10.1088/0957-0233/25/9/095501;10.1088/1742-6596/13/1/015;10.1109/TIM.2023.3268656;10.1109/TIM.2024.3457934;10.3390/ma15010235;10.3390/s21186252,10.1063/1.5116425
10.1007/s10765-013-1531-y,10.1007/s10765-013-1531-y,84890790230,Direct measurements of infrared normal spectral emissivity of solid materials for high-temperature applications,S. Hatzl;M. Kirschner;V. Lippig;T. Sander;Ch Mundt;M. Pfitzner,2013,International Journal of Thermophysics,DE,"University of the Bundeswehr Munich (DE, Neubiberg);University of the Bundeswehr Munich (DE, Neubiberg);University of the Bundeswehr Munich (DE, Neubiberg);University of the Bundeswehr Munich (DE, Neubiberg);University of the Bundeswehr Munich (DE, Neubiberg);University of the Bundeswehr Munich (DE, Neubiberg)",grating monochromator;SolarTII MS 2704;4-grating monochromator,true,0.6,15.0,normal,thermocouple;calculated,electric heater,773.0,1623.0,35,2026-08-02,10.1007/s10765-024-03393-5;10.1016/j.infrared.2015.10.001;10.1016/j.jqsrt.2022.108277;10.1063/1.2393157;10.1063/5.0073459;10.1109/TIM.2024.3457934,10.1007/s10765-008-0442-9;10.1016/j.applthermaleng.2019.114854;10.1016/j.expthermflusci.2021.110379;10.1117/12.542224
10.1007/s10765-014-1745-7,10.1007/s10765-014-1745-7,84925482101,Emissivity Measurement Under Vacuum from 4µm to 100µm and from ?40?C to 450?C at PTB,A. Adibekyan;C. Monte;M. Kehrt;B. Gutschwager;J. Hollandt,2015,International Journal of Thermophysics,DE,"Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig)",FTIR;Bruker Vertex,true,4.0,100.0,directional,platinum resistance thermometer;calculated,electric heater,233.0,723.0,37,2026-08-02,10.1007/s10765-008-0442-9;10.1007/s10765-021-02813-0;10.1007/s10765-024-03393-5;10.1016/j.expthermflusci.2021.110379;10.1016/j.infrared.2023.105060;10.1016/j.measurement.2023.113999;10.1088/0026-1394/47/2/S14;10.1088/1681-7575/ab84ff;10.1109/TIM.2023.3268656;10.1117/12.2208334;10.3390/app142210369;10.3390/ma12071141,10.1007/s10765-018-2472-2;10.1007/s11018-012-0103-z;10.1016/j.jqsrt.2020.107316;10.1364/AO.54.008700;scopus_77957053134
10.1007/s10765-015-1866-7,10.1007/s10765-015-1866-7,84940719881,A Dynamic Method to Measure Emissivity at High Temperatures,S. Krenek;D. Gilbers;K. Anhalt;D. R. Taubert;J. Hollandt,2015,International Journal of Thermophysics,DE,"Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig)",radiation thermometer LP5,true,1.064,1.064,normal,calculated,induction heating,,1000.0,30,2026-08-02,10.1016/j.applthermaleng.2025.127648;10.1109/TIM.2019.2944504;10.1109/TIM.2024.3457934;10.3390/ma12071141,10.1007/s10765-017-2339-y;10.1016/j.ijheatmasstransfer.2024.125975;10.1016/j.infrared.2023.105060;10.1016/j.solener.2022.01.050;10.1088/0026-1394/47/2/S14;10.1088/1681-7575/ab84ff;10.3390/ma15010235
10.1007/s10765-015-1969-1,10.1007/s10765-015-1969-1,84949103187,Material Spectral Emissivity Measurement Based on Two Reference Blackbodies,Jing Cai;Yongjun Yang;Li Liao;Guoyi Lyu,2015,International Journal of Thermophysics,CN,"Changcheng Institute of Metrology and Measurement (CN, Beijing);Changcheng Institute of Metrology and Measurement (CN, Beijing);Changcheng Institute of Metrology and Measurement (CN, Beijing);Changcheng Institute of Metrology and Measurement (CN, Beijing)",FTIR,true,1.0,25.0,normal,thermocouple,electric heater,323.0,773.0,6,2026-08-02,10.1007/s10765-008-0442-9;10.1007/s10765-024-03393-5;10.1088/0026-1394/47/2/S14,
10.1007/s10765-016-2058-9,10.1007/s10765-016-2058-9,84961806383,Apparatus for Measuring Spectral Emissivity of Solid Materials at Elevated Temperatures,Dengfeng Ren;Hong Tan;Yimin Xuan;Yuge Han;Qiang Li,2016,International Journal of Thermophysics,CN,"Nanjing University of Science and Technology (CN, Nanjing);Nanjing University of Science and Technology (CN, Nanjing);Nanjing University of Science and Technology (CN, Nanjing);Nanjing University of Science and Technology (CN, Nanjing);Nanjing University of Science and Technology (CN, Nanjing)",FTIR;Bruker Vertex 80v,true,2.0,25.0,normal,pyrometer,electric heater,1073.0,1873.0,47,2026-08-02,10.1007/s10765-022-03129-3;10.1007/s10765-024-03393-5;10.1016/j.ijheatmasstransfer.2021.122092;10.1016/j.infrared.2018.06.031;10.1016/j.jqsrt.2022.108277;10.1063/5.0073459;10.1109/TIM.2023.3268656;10.1109/TIM.2024.3457934,10.1007/s10765-007-0183-1;10.1007/s10765-008-0442-9;10.1007/s10765-010-0847-0;10.1016/j.applthermaleng.2019.114854;10.1016/j.measurement.2007.10.007;10.1016/j.nme.2022.101182;10.1016/j.solener.2022.01.050;10.1117/12.542224;10.1117/12.560602;10.3390/ma12071141;10.3390/ma15010235
10.1007/s10765-016-2142-1,10.1007/s10765-016-2142-1,84993978542,Study on the Multi-wavelength Emissivity of GCr15 Steel and its Application on Temperature Measurement for Continuous Casting Billets,Peng Wang;Zhi Xie;Zhenwei Hu,2016,International Journal of Thermophysics,CN,"College of Information Science and Engineering, Northeastern University (CN, Shenyang);College of Information Science and Engineering, Northeastern University (CN, Shenyang);College of Information Science and Engineering, Northeastern University (CN, Shenyang)",fiber optic spectrometer;Ideaoptics FX4000,true,0.7,0.9,normal,thermocouple,electric furnace,1273.0,1373.0,23,2026-08-02,10.1007/s10765-021-02813-0;10.1016/j.ijheatmasstransfer.2012.02.055;10.1016/j.ijheatmasstransfer.2024.125975;10.1063/1.2393157;10.1109/TIM.2023.3268656;10.3390/app142210369,
10.1007/s10765-017-2339-y,10.1007/s10765-017-2339-y,85036480139,Improving the Dynamic Emissivity Measurement Above 1000 K by Extending the Spectral Range,D. Urban;S. Krenek;K. Anhalt;D. R. Taubert,2018,International Journal of Thermophysics,DE,"Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig)",array spectrometer,true,0.55,1.1,normal,pyrometer;calculated;iterative method,induction heating,,,7,2026-08-02,10.1007/s10765-015-1866-7;10.1088/1681-7575/ab84ff;10.1109/TIM.2024.3457934,10.1016/j.expthermflusci.2021.110379
10.1007/s10765-018-2404-1,10.1007/s10765-018-2404-1,85048260178,Research of Ultra-Black Coating Emissivity Based on a Controlling the Surrounding Radiation Method,J. Song;X. P. Hao;Z. D. Yuan;Z. L. Liu;L. Ding,2018,International Journal of Thermophysics,CN,"University of Chinese Academy of Sciences (CN, Beijing);National Institute of Metrology China (CN, Beijing);National Institute of Metrology China (CN, Beijing);National Institute of Metrology China (CN, Beijing);Shanghai Institute of Technical Physics Chinese Academy of Sciences (CN, Shanghai)",radiation thermometer,,,,normal,platinum resistance thermometer,not heated,300.0,300.0,36,2026-08-02,10.1016/j.jqsrt.2022.108277,10.3390/s25020487
10.1007/s10765-018-2472-2,10.1007/s10765-018-2472-2,85057220164,Measurement of Directional Spectral Emissivity at High Temperatures,Y. M. Guo;S. J. Pang;Z. J. Luo;Y. Shuai;H. P. Tan;H. Qi,2019,International Journal of Thermophysics,CN,"School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin)",FTIR;ThermoFisher Nicolet Is50,true,1.28,28.6,directional,thermocouple,electric heater,,1400.0,73,2026-08-02,10.1007/s10765-007-0183-1;10.1007/s10765-014-1745-7;10.1007/s10765-021-02813-0;10.1007/s10765-024-03393-5;10.1016/j.applthermaleng.2019.114854;10.1016/j.expthermflusci.2021.110379;10.1016/j.ijheatmasstransfer.2024.125975;10.1016/j.ijthermalsci.2024.109454;10.1016/j.ijthermalsci.2025.109809;10.1016/j.infrared.2019.102974;10.1016/j.infrared.2020.103572;10.1016/j.infrared.2022.104515;10.1016/j.infrared.2023.105060;10.1016/j.jqsrt.2022.108277;10.1088/1681-7575/ab84ff;10.1109/TIM.2023.3268656;10.1109/TIM.2024.3457934,10.1016/j.cap.2011.04.011;10.1016/j.ijthermalsci.2025.109740;10.1088/1674-1056/25/4/047801;10.1115/1.4006088
