id,doi,scopus_id,title,authors,year,venue,corresponding_country,affiliations,detection_method,spectral,spectral_range_um_min,spectral_range_um_max,direction,temperature_measurement_method,temperature_control_method,temperature_range_K_min,temperature_range_K_max,citations_total,citations_total_updated,cites,cited_by
10.1016/j.infrared.2015.10.001,10.1016/j.infrared.2015.10.001,84945306297,An emissivity measurement apparatus for near infrared spectrum,Feng Zhang;Kun Yu;Kaihua Zhang;Yanlei Liu;Kaipin Xu;Yufang Liu,2015,Infrared Physics and Technology,CN,"School of Optics and Photonics, Beijing Institute of Technology (CN, Beijing);School of Optics and Photonics, Beijing Institute of Technology (CN, Beijing);Henan Normal University (CN, Xinxiang);School of Optics and Photonics, Beijing Institute of Technology (CN, Beijing);Henan Normal University (CN, Xinxiang);School of Optics and Photonics, Beijing Institute of Technology (CN, Beijing)",InGaAs detector with filter with locking anplifier,true,0.8,2.2,normal,thermocouple,electric heater,473.0,1273.0,30,2026-08-02,10.1007/s10765-021-02813-0;10.1063/1.2393157;10.1109/TIM.2023.3268656;10.1109/TIM.2024.3457934,10.1007/s10765-013-1400-8;10.1007/s10765-013-1531-y;10.1016/j.applthermaleng.2025.127648;10.1016/j.measurement.2007.10.007;10.1016/j.nme.2022.101182;10.1023/B:IJOT.0000028479.90667.8a;10.1063/1.5116425;10.1088/1681-7575/ab84ff;10.1117/12.542224;10.3390/ma12071141
10.1016/j.infrared.2018.06.031,10.1016/j.infrared.2018.06.031,85049329823,Development of experimental apparatus for precise emissivity determination based on the improved method compensating disturbances by background radiation,Kaihua Zhang;Yuejin Zhao;Kun Yu;Yufang Liu,2018,Infrared Physics and Technology,CN,"Beijing Institute of Technology (CN, Beijing);Beijing Institute of Technology (CN, Beijing);Henan Normal University (CN, Xinxiang);Beijing Institute of Technology (CN, Beijing)",FTIR,true,5.0,20.0,normal,thermocouple;calculated;heat flux,electric heater,373.0,673.0,18,2026-08-02,10.1016/j.jqsrt.2022.108277;10.1063/5.0073459;10.1109/TIM.2023.3268656,10.1007/s10765-007-0183-1;10.1007/s10765-010-0847-0;10.1007/s10765-016-2058-9;10.1016/j.applthermaleng.2019.114854;10.1016/j.expthermflusci.2021.110379;10.1016/j.ijheatmasstransfer.2017.06.133;10.1063/1.2393157;10.1088/0957-0233/25/9/095501;10.1088/1681-7575/ab84ff;10.1088/1742-6596/13/1/015;10.1117/12.542224
10.1016/j.infrared.2019.102974,10.1016/j.infrared.2019.102974,85070521593,An in situ online methodology for emissivity measurement between 100?°C and 500?°C utilizing infrared sensor,Xi Chen;Lin Ye;Zhixing Zhu;Kang Gui;H. Zhang,2019,Infrared Physics and Technology,CN,"Huazhong University of Science and Technology (CN, Wuhan);Huazhong University of Science and Technology (CN, Wuhan);Huazhong University of Science and Technology (CN, Wuhan);Huazhong University of Science and Technology (CN, Wuhan);Huazhong University of Science and Technology (CN, Wuhan)",thermoelectric;RM-6A,false,,,hemispherical,thermocouple,electric heater,373.0,773.0,4,2026-08-02,10.1016/j.ijheatmasstransfer.2012.02.055;10.1063/1.2393157,10.1007/s10765-010-0847-0;10.1007/s10765-011-0986-y;10.1007/s10765-018-2472-2;10.1016/j.measurement.2016.01.018
10.1016/j.infrared.2020.103572,10.1016/j.infrared.2020.103572,85096482827,A new experimental apparatus for polarized spectral emissivity measurement in a controlled environment,Kun Yu;Gangquan Wang;Longfei Li;Kaihua Zhang;Yufang Liu,2020,Infrared Physics and Technology,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",InGaAs detector;filter spectrometer,true,1.2,1.6,directional,thermocouple,electric heater,,1073.0,10,2026-08-02,10.1063/1.2393157;10.1063/5.0073459,10.1007/s10765-018-2472-2;10.1007/s10765-024-03393-5;10.1016/j.applthermaleng.2016.11.022;10.1016/j.ijheatmasstransfer.2021.122092;10.1063/1.5007225;10.1088/0026-1394/47/2/S14
10.1016/j.infrared.2022.104515,10.1016/j.infrared.2022.104515,85144602495,Improving the measurement accuracy of directional spectral emissivity at large emission zenith angle by surface temperature correction,Weilong Wang;Longfei Li;Kun Yu;Kaihua Zhang;Wenyue Ruan;Qianjin Zhu;Yufang Liu,2023,Infrared Physics and Technology,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",FTIR;Bruker Vertex 70v,true,4.0,20.0,directional,thermocouple;calculated,electric heater,,,9,2026-08-02,10.1007/s10765-007-0183-1;10.1007/s10765-008-0442-9;10.1016/j.ijheatmasstransfer.2017.06.133;10.1063/1.2393157;10.1088/0026-1394/47/2/S14;10.1088/0957-0233/25/9/095501;10.1088/1742-6596/395/1/012152;10.1117/12.560602,10.1007/s10765-018-2472-2;10.1016/j.expthermflusci.2021.110379;10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.measurement.2016.01.018;10.1023/B:IJOT.0000028479.90667.8a;10.1063/1.115104;10.1063/1.4819635;10.1088/1674-1056/25/4/047801
10.1016/j.infrared.2023.105060,10.1016/j.infrared.2023.105060,85181145439,A multispectral radiometry method for measuring the normal spectral emissivity and temperature,Jia Qi Li;Xin Lin Xia;Chuang Sun;Xue Chen;Qin Yang Wang,2024,Infrared Physics and Technology,CN,"School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Energy Science and Engineering, Harbin Institute of Technology (CN, Harbin)",Spectrometer;analytical spectral devices,true,0.3,2.5,normal,Thermocouple;thermal imager,,1473.0,1873.0,10,2026-08-02,10.1007/s10765-015-1866-7;10.1016/j.ijthermalsci.2024.109454;10.1016/j.infrared.2015.01.011;10.1063/1.2393157;10.1088/0026-1394/47/2/S14,10.1007/s10765-007-0183-1;10.1007/s10765-014-1745-7;10.1007/s10765-018-2472-2;10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.jqsrt.2020.107316;10.1063/1.4819635;10.1088/1742-6596/13/1/015
10.1016/j.jqsrt.2020.107316,10.1016/j.jqsrt.2020.107316,85093662020,Apparent emissivity measurement of semi-transparent materials part 1: Experimental realization,Julian Gieseler;Albert Adibekyan;Christian Monte;Jörg Hollandt,2020,Journal of Quantitative Spectroscopy and Radiative Transfer,DE,"Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig);Physikalisch-Technische Bundesanstalt (DE, Braunschweig)",FTIR;Bruker Vertex 80v,true,4.5,20.0,directional,pt100;calculated,circulating water,293.0,363.0,9,2026-08-02,10.1007/s10765-008-0442-9;10.1007/s10765-014-1745-7;10.1016/j.ijheatmasstransfer.2024.125975;10.1016/j.ijthermalsci.2025.109809;10.1016/j.infrared.2023.105060,scopus_77957053134
10.1016/j.jqsrt.2022.108277,10.1016/j.jqsrt.2022.108277,85131362357,A new approach for accurately measuring the spectral emissivity via modulating the surrounding radiation,Kaihua Zhang;Yanfen Xu;Xiaohu Wu;Kun Yu;Yufang Liu,2022,Journal of Quantitative Spectroscopy and Radiative Transfer,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Shandong Institute of Advanced Technology (CN, Jinan);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",FTIR;Bruker Vertex 70v,true,2.0,25.0,normal,thermocouple,electric heater,,1073.0,3,2026-08-02,10.1063/1.2393157,10.1007/s10765-007-0183-1;10.1007/s10765-008-0442-9;10.1007/s10765-010-0847-0;10.1007/s10765-013-1531-y;10.1007/s10765-016-2058-9;10.1007/s10765-018-2404-1;10.1007/s10765-018-2472-2;10.1007/s11018-012-0103-z;10.1016/j.applthermaleng.2019.114854;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.infrared.2018.06.031;10.1063/1.1627210;10.1088/0026-1394/47/2/S14;10.1088/0957-0233/25/9/095501;10.1088/1674-1056/25/4/047801;10.1115/1.4006088
10.1016/j.matlet.2011.01.067,10.1016/j.matlet.2011.01.067,79952447546,Greatly enhanced infrared normal spectral emissivity of microstructured silicon using a femtosecond laser,Guojin Feng;Yu Wang;Yuan Li;Jingtao Zhu;Li Zhao,2011,Materials Letters,CN,"Fudan University (CN, Shanghai);National Institute of Metrology China (CN, Beijing);Fudan University (CN, Shanghai);Institute of Precision Optical Engineering (CN, Shanghai);Fudan University (CN, Shanghai)",FTIR;Bruker Equinox 55,true,2.5,25.0,normal,,,,,29,2026-08-02,10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.ijheatmasstransfer.2021.122092,
10.1016/j.measurement.2007.10.007,10.1016/j.measurement.2007.10.007,47549112671,Emissivity reference paints for high temperature applications,Ruediger Brandt;Colin Bird;Guenther Neuer,2008,Measurement: Journal of the International Measurement Confederation,DE,"Universität Stuttgart (DE, Stuttgart);Rolls-Royce plc (GB, London);Universität Stuttgart (DE, Stuttgart)",pyrometer LP2,true,0.5,8.3,directional,pyrometer,induction heating,1000.0,3000.0,65,2026-08-02,10.1007/s10765-016-2058-9;10.1016/j.applthermaleng.2025.127648;10.1016/j.infrared.2015.10.001;10.1088/1742-6596/395/1/012152;10.1109/TIM.2019.2944504,
10.1016/j.measurement.2016.01.018,10.1016/j.measurement.2016.01.018,84955263494,Methodology for spectral emissivity measurement by means of single color pyrometer,Carlo Purpura;Eduardo Trifoni;Marilena Musto;Giuseppe Rotondo;Roberto Della Ragione,2016,Measurement: Journal of the International Measurement Confederation,IT,"Centro Italiano Ricerche Aerospaziali (IT, Capua);Centro Italiano Ricerche Aerospaziali (IT, Capua);Università degli Studi di Napoli Federico II (IT, Naples);Università degli Studi di Napoli Federico II (IT, Naples);Università degli Studi di Napoli Federico II (IT, Naples)",pyrometers,,,,normal,thermocouple;calculated,electric furnace,573.0,1273.0,13,2026-08-02,10.1016/j.infrared.2019.102974;10.1016/j.infrared.2022.104515,10.1016/j.infrared.2014.07.004
10.1016/j.measurement.2016.04.006,10.1016/j.measurement.2016.04.006,84964335086,Accurate methods for single-band apparent emissivity measurement of opaque materials,Olivier Riou;Vincent Guiheneuf;Fabien Delaleux;Pierre Olivier Logerais;Jean Félix Durastanti,2016,Measurement: Journal of the International Measurement Confederation,FR,"Paris-Est Sup (FR, Marne-la-Vallee);Paris-Est Sup (FR, Marne-la-Vallee);Paris-Est Sup (FR, Marne-la-Vallee);Paris-Est Sup (FR, Marne-la-Vallee);Paris-Est Sup (FR, Marne-la-Vallee)",infrared camera;Thermacam E300,,,,normal,thermocouple,electric heater,293.0,393.0,23,2026-08-02,10.1016/j.expthermflusci.2021.110379;10.1016/j.ijheatmasstransfer.2004.10.003;10.1088/1361-6501/ab5e9b;10.1109/TIM.2019.2944504,
10.1016/j.measurement.2023.113999,10.1016/j.measurement.2023.113999,85180984602,Directional spectral emissivity measurement approach in a broad-spectrum at low temperatures: Device and methodology study,Zeye Yuan;Longfei Li;Kun Yu;Kaihua Zhang;Yufang Liu,2024,Measurement: Journal of the International Measurement Confederation,CN,"Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang);Henan Normal University (CN, Xinxiang)",FTIR;Bruker Vertex 70v,true,5.0,100.0,directional,thermocouple,,213.0,423.0,7,2026-08-02,10.1063/1.2393157,10.1007/s10765-007-0183-1;10.1007/s10765-014-1745-7;10.1016/j.applthermaleng.2019.114854;10.1016/j.ijheatmasstransfer.2017.06.133;10.1063/5.0073459;10.1088/0026-1394/47/2/S14;10.1088/1742-6596/13/1/015;10.1109/TIM.2023.3268656;10.3390/ma12071141
10.1016/j.measurement.2024.115591,10.1016/j.measurement.2024.115591,85202171597,In-situ measurement method for surface temperature and normal spectral emissivity of TC-4 high-temperature alloy based on thin film interference mechanism model,Yang Wang;Jingmin Dai;Yufeng Zhang;Lei Zhang,2025,Measurement: Journal of the International Measurement Confederation,CN,"School of Instrumentation Science and Engineering, Harbin Institute of Technology (CN, Harbin);School of Instrumentation Science and Engineering, Harbin Institute of Technology (CN, Harbin);Bohai University (CN, Jinzhou);Shenyang Aircraft Corporation (CN, Shenyang)",FTIR;Nicolet iS-50,true,2.0,14.0,normal,thermocouple;calculated,electric heater,473.0,973.0,2,2026-08-02,10.1007/s10765-022-03129-3,
10.1016/j.nme.2022.101182,10.1016/j.nme.2022.101182,85128365817,Research on the normal emissivity of graphite between 150 and 500 °C by an infrared camera for nuclear fusion devices,Shuangbao Shu;Tianqi Wu;Ziyi Wang;Yuzhong Zhang;Ziqiang Yang;Huajun Liang,2022,Nuclear Materials and Energy,CN,"Hefei University of Technology (CN, Hefei);Hefei University of Technology (CN, Hefei);Hefei University of Technology (CN, Hefei);Hefei University of Technology (CN, Hefei);Hefei University of Technology (CN, Hefei);Hefei University of Technology (CN, Hefei)",Infrared camera;FLIR A40M,true,7.5,13.0,normal,thermocouple,electric heater,423.0,773.0,12,2026-08-02,10.1007/s10765-016-2058-9;10.1016/j.infrared.2015.10.001,10.1016/j.ijthermalsci.2024.109454
10.1016/j.proci.2010.07.042,10.1016/j.proci.2010.07.042,78650920426,A simple judgment method of gray property of flames based on spectral analysis and the two-color method for measurements of temperatures and emissivity,Yipeng Sun;Chun Lou;Huaichun Zhou,2011,Proceedings of the Combustion Institute,CN,"Huazhong University of Science and Technology (CN, Wuhan);Huazhong University of Science and Technology (CN, Wuhan);Huazhong University of Science and Technology (CN, Wuhan)",fiber optic spectrometer;Avantes AvaSpec-2048,true,0.2,1.1,normal,,combustion furnace,,,100,2026-08-02,10.1016/j.expthermflusci.2019.110017;10.1109/TIM.2023.3268656,10.1021/acs.energyfuels.9b03188
10.1016/j.solener.2022.01.050,10.1016/j.solener.2022.01.050,85124313041,Measuring the spectral emissivity of single particle at high temperature,Lili Yang;Yezheng Zhan;Guan Huang,2022,Solar Energy,CN,"Nanjing University of Aeronautics and Astronautics (CN, Nanjing);Nanjing University of Aeronautics and Astronautics (CN, Nanjing);Nanjing University of Aeronautics and Astronautics (CN, Nanjing)",FTIR;ThermoFisher Nicolet Is50,true,2.5,25.0,normal,thermocouple,electric heater,773.0,1173.0,8,2026-08-02,10.1007/s10765-015-1866-7;10.1007/s10765-016-2058-9;10.3390/ma12071141,10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.ijheatmasstransfer.2021.122092;10.1088/1742-6596/13/1/015
10.1016/j.tca.2017.03.004,10.1016/j.tca.2017.03.004,85016140762,A new numerical method and modified apparatus for the simultaneous evaluation of thermo-physical properties above 1500 K: A case study on isostatically pressed graphite,T. Pavlov;L. Vlahovic;D. Staicu;R. J.M. Konings;M. R. Wenman;P. Van Uffelen;R. W. Grimes,2017,Thermochimica Acta,DE,"European Commission Joint Research Centre (BE, Brussels);European Commission Joint Research Centre (BE, Brussels);European Commission Joint Research Centre (BE, Brussels);European Commission Joint Research Centre (BE, Brussels);Imperial College London (GB, London);European Commission Joint Research Centre (BE, Brussels);Imperial College London (GB, London)",Spectropyrometer,true,0.5,1.0,normal,pyrometer,laser;500W,1000.0,3000.0,34,2026-08-02,,10.1007/s10765-013-1400-8
10.1016/s0031-8914(54)80182-0,10.1016/s0031-8914(54)80182-0,21944450631,A new determination of the emissivity of tungsten ribbon,J. C. De Vos,1954,Physica,US,"the N.V. KEMA (US, Nederland)",monochromators,true,0.23,2.7,normal,pyrometer,current through sample,1600.0,2800.0,321,2026-08-02,10.1007/s10765-007-0183-1,10.1016/j.expthermflusci.2019.110017
10.1021/acs.energyfuels.9b03188,10.1021/acs.energyfuels.9b03188,85077118270,Online Measurement of the Flame Temperature and Emissivity during Biomass Volatile Combustion Using Spectral Thermometry and Image Thermometry,Weijie Yan;Kuangyu Li;Xianliang Huang;Lingbo Yu;Chun Lou;Yumin Chen,2020,Energy and Fuels,CN,"China University of Mining and Technology (CN, Xuzhou);China University of Mining and Technology (CN, Xuzhou);China University of Mining and Technology (CN, Xuzhou);China University of Mining and Technology (CN, Xuzhou);Huazhong University of Science and Technology (CN, Wuhan);China University of Mining and Technology (CN, Xuzhou)",fiber optic spectrometer;Avantes AvaSpec-ULS2048CL-EVO,true,0.3,0.8,normal,thermocouple;calculated,combustion furnace,,,36,2026-08-02,10.1016/j.proci.2010.07.042;10.1109/TIM.2023.3268656,
10.1023/A:1012817726103,10.1023/A:1012817726103,33750675253,The spectral directional emissivity of photovoltaic surfaces,D. Labuhn;S. Kabelac,2001,International Journal of Thermophysics,DE,"OHB System AG (DE, Bremen);Helmut Schmidt University - University of the Federal Armed Forces Hamburg (DE, Hamburg)",FTIR,true,4.0,20.0,directional,platinum resistance thermometer,electric heater,373.15,473.15,15,2026-08-02,10.1016/j.ijheatmasstransfer.2012.02.055;10.1016/j.ijheatmasstransfer.2017.06.133;10.1063/1.2393157;10.1063/5.0073459,
10.1023/A:1013103419949,10.1023/A:1013103419949,10844253966,A simple high-sensitivity radiometer in the infrared for measurements of the directional total emissivity of opaque materials at near-ambient temperatures,A. Pantinakis;N. Kortsalioudakis,2001,International Journal of Thermophysics,GR,"Technical University of Crete (GR, Chania);Technical University of Crete (GR, Chania)","thermopile;EG&G Heimann Opto-
Electronics Type TPS434",false,,,directional,thermocouple,electric heater,,,12,2026-08-02,10.1016/j.ijheatmasstransfer.2012.02.055;10.1063/1.2393157,10.1063/1.5116425
10.1023/A:1021415305603,10.1023/A:1021415305603,32639468,System for measuring the spectral distribution of normal emissivity of metals with direct current heating,M. Kobayashi;M. Otsuki;H. Sakate;F. Sakuma;A. Ono,1999,International Journal of Thermophysics,JP,"National Metrology Institute of Japan (JP, Tsukuba);National Metrology Institute of Japan (JP, Tsukuba);National Metrology Institute of Japan (JP, Tsukuba);National Metrology Institute of Japan (JP, Tsukuba);National Metrology Institute of Japan (JP, Tsukuba)",Multiband radiation thermometer with grating,true,0.55,5.3,normal,radiation thermometer,direct current through the sample,1053.0,1473.0,55,2026-08-02,,
10.1023/A:1024193515227,10.1023/A:1024193515227,42068223,Determination of flame emissivity in hydrocarbon pool fires using infrared thermography,Eulàlia Planas-Cuchi;Josep Ma Chatris;Carlos López;Josep Arnaldos,2003,Fire Technology,ES,"Universitat Politècnica de Catalunya (ES, Barcelona);Universitat Politècnica de Catalunya (ES, Barcelona);Universitat Politècnica de Catalunya (ES, Barcelona);Universitat Politècnica de Catalunya (ES, Barcelona)",infrared camera,,,,normal,calculated,combustion furnace,,,52,2026-08-02,,
10.1023/B:IJOT.0000028479.90667.8a,10.1023/B:IJOT.0000028479.90667.8a,3543121870,A transient method for total emissivity determination,B. Zhang;J. Redgrove;J. Clark,2004,International Journal of Thermophysics,GB,"National Physical Laboratory (GB, Middlesex);National Physical Laboratory (GB, Middlesex);National Physical Laboratory (GB, Middlesex)",FTIR;Bruker Equinox 55,true,0.6,9.6,normal,Thermocouple;calculated,electric heater,,,29,2026-08-02,10.1007/s10765-021-02813-0;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.infrared.2015.10.001;10.1016/j.infrared.2022.104515;10.1109/TIM.2025.3551925,
10.1029/96JE01089,10.1029/96JE01089,10346463,New laboratory measurements of mid-IR emission spectra of simulated planetary surfaces,Bràdley G. Henderson;Paul G. Lucey;Bruce M. Jakosky,1996,Journal of Geophysical Research: Planets,US,"University of Colorado Boulder (US, Boulder);School of Ocean and Earth Science and Technology (US, Honolulu);University of Colorado Boulder (US, Boulder)",scanning grating monochromator,true,7.0,13.0,normal,,electric heater,77.0,500.0,24,2026-08-02,,
10.1063/1.1139125,10.1063/1.1139125,22600149,Design and testing of a high-temperature emissometer for porous and particulate dielectrics,D. T. Vader;R. Viskanta;F. P. Incropera,1986,Review of Scientific Instruments,US,"College of Engineering (US, West Lafayette);College of Engineering (US, West Lafayette);College of Engineering (US, West Lafayette)",radiometer;Barnes 12-550 with filter,true,1.5,14.0,normal,thermocouple,electric heater;furnace,773.0,1773.0,25,2026-08-02,,
10.1063/1.1141538,10.1063/1.1141538,857872,An FT-IR based instrument for measuring spectral emittance of material at high temperature,J. R. Markham;P. R. Solomon;P. E. Best,1990,Review of Scientific Instruments,US,"Advanced Fuel Research Incorporated (US, East Hartford);Advanced Fuel Research Incorporated (US, East Hartford);Advanced Fuel Research Incorporated (US, East Hartford)",FTIR;Nicolet 7199,true,1.6,20.0,normal,calculated;christiansen,torch,300.0,2226.0,69,2026-08-02,,
10.1063/1.1143913,10.1063/1.1143913,1174395,Bench top Fourier transform infrared based instrument for simultaneously measuring surface spectral emittance and temperature,James R. Markham;Karen Kinsella;Robert M. Carangelo;Carl R. Brouillette;Martin D. Carangelo;Philip E. Best;Peter R. Solomon,1993,Review of Scientific Instruments,US,"Advanced Fuel Research Incorporated (US, East Hartford);Advanced Fuel Research Incorporated (US, East Hartford);Advanced Fuel Research Incorporated (US, East Hartford);Advanced Fuel Research Incorporated (US, East Hartford);Advanced Fuel Research Incorporated (US, East Hartford);Advanced Fuel Research Incorporated (US, East Hartford);Advanced Fuel Research Incorporated (US, East Hartford)",FTIR,true,0.8,20.0,,,multiple: torch;lamps;laser,373.0,2273.0,75,2026-08-02,,
10.1063/1.1150028,10.1063/1.1150028,1152792,A spectroscopic method to measure the spectral emissivity of semi-transparent materials up to high temperature,O. Rozenbaum;D. De Sousa Meneses;Y. Auger;S. Chermanne;P. Echegut,1999,Review of Scientific Instruments,FR,"CRMHT Centre de Recherches sur les Matériaux à Haute Température (FR, Orleans);CRMHT Centre de Recherches sur les Matériaux à Haute Température (FR, Orleans);CRMHT Centre de Recherches sur les Matériaux à Haute Température (FR, Orleans);CRMHT Centre de Recherches sur les Matériaux à Haute Température (FR, Orleans);CRMHT Centre de Recherches sur les Matériaux à Haute Température (FR, Orleans)",FTIR;Bruker IFS 113 V,true,0.83,1000.0,directional,,laser,600.0,3000.0,141,2026-08-02,,
10.1063/1.1150701,10.1063/1.1150701,4474246,Experimental apparatus for radiometric emissivity measurements of metals,T. Furukawa;T. Iuchi,2000,Review of Scientific Instruments,JP,"Toyo University (JP, Tokyo);Toyo University (JP, Tokyo)",radiometers,,,,directional,,electric heater,,1023.0,63,2026-08-02,,
10.1063/1.115104,10.1063/1.115104,5544235006,Emissivity of B-implanted and annealed silicon,D. F. Takeuti;P. J. Timans;H. Ahmed,1995,Applied Physics Letters,GB,"Department of Physics (GB, Cambridge);Department of Physics (GB, Cambridge);Department of Physics (GB, Cambridge)",Monochromator;Bentham TM 300,true,0.9,2.7,normal,pyrometer;calculated,Electron-beam heating,,,12,2026-08-02,10.1016/j.infrared.2022.104515;10.1063/1.2393157,
10.1063/1.1627210,10.1063/1.1627210,85113619623,A Fourier-Transform Spectrometer for Accurate Thermometric Applications at Low Temperatures,"Ishii, Juntaro;Ono, Akira",2003,AIP Conference Proceedings,JP,"National Metrology Institute of Japan (JP, Tsukuba);National Metrology Institute of Japan (JP, Tsukuba)",FTIR;JASCO FTIR 6100,true,5.0,12.0,,platinum resistance thermometer;in the fluid,thermostatic fluid,253.0,373.0,10,2026-08-02,10.1016/j.jqsrt.2022.108277,
10.1063/1.1752284,10.1063/1.1752284,36849135913,An apparatus for the measurement of the total normal thermal emissivity of sheet materials in the temperature range 140 to 500°f,Paul F. McDermott,1937,Review of Scientific Instruments,US,"Johns-Manville Research Laboratories (US, Manville)",radiometer (custom),false,,,normal,thermocouple,,333.0,533.0,3,2026-08-02,,
10.1063/1.2393157,10.1063/1.2393157,33751577360,New experimental device for infrared spectral directional emissivity measurements in a controlled environment,Leire Del Campo;Raúl B. ?rez-Sáez;Xabier Esquisabel;Ignacio Fernández;Manuel J. Tello,2006,Review of Scientific Instruments,ES,"Universidad del Pais Vasco (ES, Leioa);Universidad del Pais Vasco (ES, Leioa);Industria de Turbo Propulsores, S. A. (ES, Madrid);Industria de Turbo Propulsores, S. A. (ES, Madrid);Universidad del Pais Vasco (ES, Leioa)",FTIR;Bruker IFS 66v/S,true,1.28,25.0,directional,thermocouple,electic heater,300.0,1050.0,177,2026-08-02,10.1016/j.infrared.2018.06.031,10.1007/s10765-011-0986-y;10.1007/s10765-013-1531-y;10.1007/s10765-016-2142-1;10.1007/s10765-021-02813-0;10.1007/s10765-022-03129-3;10.1007/s10765-024-03433-0;10.1016/j.applthermaleng.2019.114854;10.1016/j.expthermflusci.2021.110379;10.1016/j.ijheatmasstransfer.2012.02.055;10.1016/j.ijheatmasstransfer.2015.07.064;10.1016/j.ijheatmasstransfer.2017.06.133;10.1016/j.ijheatmasstransfer.2021.122092;10.1016/j.ijthermalsci.2025.109740;10.1016/j.infrared.2014.07.004;10.1016/j.infrared.2015.01.011;10.1016/j.infrared.2015.10.001;10.1016/j.infrared.2019.102974;10.1016/j.infrared.2020.103572;10.1016/j.infrared.2022.104515;10.1016/j.infrared.2023.105060;10.1016/j.jqsrt.2022.108277;10.1016/j.measurement.2023.113999;10.1023/A:1012817726103;10.1023/A:1013103419949;10.1063/1.115104;10.1063/1.5007225;10.1063/1.5116425;10.1063/5.0073459;10.1088/0957-0233/25/9/095501;10.1088/1674-1056/25/4/047801;10.1088/1681-7575/ab84ff;10.1088/1742-6596/395/1/012152;10.1109/TIM.2023.3268656;10.1109/TIM.2024.3457934;10.1115/1.4006088;10.1117/12.2208334;10.1364/AO.54.008700;10.3390/s21186252
10.1063/1.4769084,10.1063/1.4769084,84869448906,A new experimental setup for making thermal emission measurements in a simulated lunar environment,I. R. Thomas;B. T. Greenhagen;N. E. Bowles;K. L. Donaldson Hanna;J. Temple;S. B. Calcutt,2012,Review of Scientific Instruments,GB,"University of Oxford (GB, Oxford);Jet Propulsion Laboratory (US, Pasadena);University of Oxford (GB, Oxford);Brown University (US, Providence);University of Oxford (GB, Oxford);University of Oxford (GB, Oxford)",FTIR;Bruker IFS-66v/S,true,3.3,29.0,normal,,electric heater,360.0,500.0,35,2026-08-02,,
10.1063/1.4819635,10.1063/1.4819635,84884993662,Measurements of infrared spectral directional emittance at NIST-A status update,"Wilthan, Boris;Hanssen, Leonard M;Mekhontsev, Sergey",2013,AIP Conference Proceedings,US,"SDL (US, Logan);National Institute of Standards and Technology (US, Gaithersburg);National Institute of Standards and Technology (US, Gaithersburg)",FTIR;custom,true,2.0,20.0,directional,Thermocouple;radiometrically calculated,electric heater,473.0,1173.0,5,2026-08-02,10.1016/j.expthermflusci.2021.110379;10.1016/j.ijthermalsci.2025.110629;10.1016/j.infrared.2022.104515;10.1016/j.infrared.2023.105060;10.1117/12.542224,
10.1063/1.4949213,10.1063/1.4949213,84984562905,Pyrometric method for measuring emittances at high temperatures,Ballestr{\'\i,2016,AIP Conference Proceedings,ES,"CIEMAT-Plataforma Solar de Almería (ES, Almeria);CIEMAT-Plataforma Solar de Almería (ES, Almeria);CIEMAT-Plataforma Solar de Almería (ES, Almeria);CIEMAT-Plataforma Solar de Almería (ES, Almeria);CIEMAT-Plataforma Solar de Almería (ES, Almeria);Universidad de Almería (ES, Almeria);Universidad de Antofagasta (CL, Antofagasta)",pyrometer;infrared camera,,,,normal,thermocouple,solar furnace,737.0,1373.0,4,2026-08-02,10.3390/s25020487,
